Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11570653,"The Butcher of Anderson Station (The Expanse, #0.5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,3.96,Hachette Book Group,Kindle Edition,40,2011,2011,,2014/02/02,"to-read, science-fiction, author-male, read-2020","to-read (#1), science-fiction (#60), author-male (#463), read-2020 (#5)",to-read,,,,0,,,0,,,,,
7286699,The Thing Beneath the Bed (The Adventures of the Princess and Mr. Whiffle #1),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""1596063130""","=""9781596063136""",3,4.28,Subterranean Press,Hardcover,72,2010,2010,2014/03/18,2014/03/18,"read-2014, author-male, fantasy","read-2014 (#68), author-male (#498), fantasy (#657)",read,"Oh yeah, so I never reviewed this. It's short. The pictures are pretty good. I didn't really find it all that funny (which I sort of assumed the point), but the ending was great and unexpected and that made it worth reading overall.<br/><br/>Besides even if you don't like it, you're only out 5 minutes (well and a ton of money if you buy it, man this thing is expensive). I'd recommend borrowing this from a library rather than buying it if you really want to read it.",,,1,,,0,,,,,
16146232,Joyland,Stephen King,"King, Stephen",Michael    Kelly,"=""1442359919""","=""9781442359918""",4,3.91,Simon  Schuster Audio,Audio CD,8,2013,2013,2013/06/17,2013/06/07,"audio-book, read-2013, sff-audio, own, stand-alone, author-male, mystery","audio-book (#41), read-2013 (#41), sff-audio (#5), own (#222), stand-alone (#31), author-male (#343), mystery (#21)",read,"<b>Executive Summary:</b> Not exactly what I'm used to from Mr. King, but quite enjoyable none the less.<br/><br/><b>Audio book:</b> The book is narrated by <a href=""http://www.imdb.com/name/nm0446672/"">Michael Kelly</a> who is probably better known as an actor than as an audiobook reader. This is the first book I've listened to with him. <br/><br/>Unsurprisingly he speaks in a clear manner, with good inflection. He does a few accents for some of the characters, but not many. He's a decent reader, but doesn't really add much to it.<br/><br/><b><u>Full Review</u></b><br/>I'd like to think of myself as an experienced [a:Stephen King|3389|Stephen King|http://d.gr-assets.com/authors/1362814142p2/3389.jpg] reader. I'm no expert though. I've read about 25 of his books, but that's only about a 3rd of what he's written.<br/><br/>At first I found myself wondering if I had the author right. I kept waiting for horrible things to happen: evil clowns, monsters, Randall Flagg. You know, a [a:Stephen King|3389|Stephen King|http://d.gr-assets.com/authors/1362814142p2/3389.jpg] book. There are carnies, but no evil clowns.<br/><br/>That's probably not fair on my part, he has written a variety of things over the years, and not all of it is horror. Still it's what he's best known for, and it can be a bit surprising when evil isn't lurking around every corner. <br/><br/>That isn't to say this book doesn't have some spookiness and a sense of the fantastical going on. <br/><br/>Joyland is about a 21 year old college student named Devin Jones, recently ditched by his girlfriend who takes a summer job working at an amusement park in North Carolina called Joyland in the 1970s.<br/><br/>One of Joyland's biggest attractions is the Horror House, said to be haunted by the ghost of a girl who was murdered during the ride a few years past. That sounds more like the [a:Stephen King|3389|Stephen King|http://d.gr-assets.com/authors/1362814142p2/3389.jpg] we all know, right?<br/><br/>During his job interview, he meets the resident ""physic"" who gives him a prediction about his future. He's skeptical, because surely, it's all just an act for the show, right?<br/><br/>What follows is a time that Devin will never forget, and a story I greatly enjoyed. It's actually quite heart warming in places. It's really a book about people more than anything.<br/><br/>It's certainly not one of his scariest books, but it's one of the best of his I've read. It's certainly more [b:The Shawshank Redemption|39662|The Shawshank Redemption|Stephen King|http://d.gr-assets.com/books/1329662611s/39662.jpg|2248680] than [b:It|18342|It|Stephen King|http://d.gr-assets.com/books/1309376909s/18342.jpg|150259].<br/><br/>At only 283 pages/7.5 hours it's much shorter than Mr. King's usual fare as well, but I'd definitely recommend it as a quick read.",,,1,,,1,,,unspecified,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",3,4.01,Random House,Paperback,509,2004,2004,2012/10/14,2012/08/10,"sword-and-laser, read-2012, own, author-male, science-fiction","sword-and-laser (#3), read-2012 (#18), own (#137), author-male (#183), science-fiction (#303)",read,"<b> Executive Summary:</b> I went back and forth on rating this a 3 or 4 (In fact I slept on it). I decided to settle on a 3. I liked this book. In fact I rather enjoyed a few of the stories quite a bit. I just didn't LOVE this book.<br/><br/>This is a book that makes you think. In my opinion though, it made me think too much, and didn't allow me to simply be swept up in the enjoyment of it. I think that's what kept it from being a ""Really Like"" rather than a ""Like""<br/><br/>I will say to anyone struggling to start this book, try to give it to the halfway point, it's worth it.<br/><br/><b><u>Full Review</u></b><br/><br/>I read this for my book club, though if they hadn't read it, I would have on my own. It's not in my recent wheelhouse of Fantasy (and to a lesser degree Sci-Fi). I'll admit that I hadn't heard of it before seeing it was the basis for the new Wachowskis film.<br/><br/>It's a series of short stories that tie together with underlying themes. This is the kind of book that can lead to deep philosophical discussion. I generally don't like that.<br/><br/>I enjoy books that challenge my thinking or leave me to ponder, but usually prefer reading for escapism. I feel that I'd have to read this book multiple times to fully grasp everything. Some people may look at that as a positive. I on the other-hand have too many other books to read, to consider re-reading.<br/><br/>Maybe through discussion I'll come to a better understanding. I generally consider myself to be an intelligent person, but this is the sort of book that makes me feel dumb.<br/><br/>I enjoyed 5/6 stories. I didn't particularly care for the first: <b>The Pacific Journal of Adam Ewing.</b> It's style/story really made this book both start and end slow.<br/><br/>My favorite stories were actually the 2 with the female protagonists: <b>An Orison of Sonmi~451</b> and <b>Half-Lives: The First Luisa Rey Mystery</b>.<br/><br/>I did like how each story not only changed time periods, but it changed both it's style and it's ""genre"". At the same time there are certain themes throughout that tie things together. The changes could be jarring at first, but once I got into the next story a little it was fine.<br/><br/>This book started off really slowly for me. Once I got into the later stories (Luisa Rey onwards) and through the <b>Sloosha's Crossin' an' Ev'rythin' After</b>, the second half of the book just flew by.<br/><br/>As I think on this book/discuss it more and end up raising my rating some. We'll see. I'm also curious to see how the movie adaption works out.",,,1,,,0,,,,,
51080,Batman: Knightfall,Dennis O'Neil,"O'Neil, Dennis",,"=""0553572601""","=""9780553572605""",3,4.04,Spectra Books,Mass Market Paperback,416,1995,1994,2012/01/01,2013/11/09,"graphic-novels-and-manga, batman, author-male, fantasy","graphic-novels-and-manga (#3), batman (#1), author-male (#411), fantasy (#656)",read,"A friend loaned this to me last year before Dark Knight Rises came out. I wasn't really familiar with Bane, so he told me to check this out.<br/><br/>It was good, but not great. The Bane stuff was good, but I didn't care much for the other subplots.",,,1,Thomas Schreck,,0,,,,,
25107424,"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,"Vinge, Joan D.",Ellen Archer,"=""""","=""""",3,3.95,Audible Studios,Audible Audio,21,2012,1980,2019/11/20,2019/10/21,"20xx-laser, author-female, read-2019, sword-and-laser, audio-book, science-fiction","20xx-laser (#37), author-female (#226), read-2019 (#57), sword-and-laser (#85), audio-book (#452), science-fiction (#302)",read,,,,1,,,0,,,,,
18159958,The Last Unicorn,Peter S. Beagle,"Beagle, Peter S.",,"=""""","=""9780970680167""",2,4.17,Conlan Press,ebook,236,2013,1968,2019/06/23,2013/01/20,"humble-ebook-bundle-2, author-male, own, own-backlog, 20xx-sword, read-2019, sword-and-laser, fantasy","humble-ebook-bundle-2 (#6), author-male (#292), own (#613), own-backlog (#30), 20xx-sword (#62), read-2019 (#32), sword-and-laser (#73), fantasy (#655)",read,"<b>Executive Summary:</b> I found this book to be well written, but largely uninteresting. <br/><br/><b><u>Full Review</u></b><br/>I've had this book on my to read pile for awhile but I never got around to it. Then Sword & Laser picked it for their June book. I came to it just off of an underwhelming book that I struggled to read for months.<br/><br/>I'm not sure if it was that mentality or that I just wasn't in the mood for this book I can't say. There were some parts I enjoyed. In particular I liked the ending, but the middle of the book dragged for me.<br/><br/>Much like my previous book I would go for days without picking it up and I could barely get through more than one or two chapters at a time.<br/><br/>I can understand why this book is so beloved. If I had read it at a younger age or possibly at a different time in my life I'd probably have liked it better. I'm just glad to have finally read it and to be moving on.",,,1,,,1,2013/07/04,Humble Bundle,unspecified,,
40048005,The Fall of Io (Io #2),Wesley Chu,"Chu, Wesley",,"=""""","=""""",4,4.04,Angry Robot,Kindle Edition,416,2019,2019,2019/01/17,2019/01/01,"20xx-laser, author-male, own, read-2019, science-fiction","20xx-laser (#24), author-male (#942), own (#689), read-2019 (#3), science-fiction (#301)",read,"<b>Executive Summary:</b> I found the start slow, but once a certain something happened, things really picked up for me. I'm looking forward to the next book.<br/><br/><b><u>Full Review</u></b><br/>[b:The Lives of Tao|15981711|The Lives of Tao (Tao, #1)|Wesley Chu|https://images.gr-assets.com/books/1361886088s/15981711.jpg|19932371] was a pleasant discovery a few years back. It got better with each book, and really stuck the landing. When this series was announced I was really excited to be returning back to the great world building Mr. Chu established in that series.<br/><br/>Io is very different from Tao. And Ella couldn't be any more different from Roen. For that reason I've struggled with this series at times. I liked the first book in the series, but not as much as that original series.<br/><br/>I feel like the start of this book had some pacing issues as it felt like Ella was basically avoiding moving the story forward. Then something happened and the story took a turn for the better. <br/><br/>The world Mr. Chu has built the Quasings inhabiting humans throughout history is fun to read about. Mix in the spy thriller elements and you've got a winning combination. This series does a good job of continuing on the story from the first series, while being different enough to be redundant.<br/><br/>I'm hoping that there is less time between books 2 and 3 than there was between books 1 and 2 because I'm really looking forward to see how this wraps up. This doesn't quite leave off on a cliffhanger, but it does set things up nicely for the next book.",,,1,,,1,2019/01/01,Amazon,unspecified,,
40379941,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",Kevin R. Free,"=""""","=""""",4,4.28,,Audible Audio,4,,2018,2019/01/06,2019/01/05,"20xx-laser, audio-book, author-female, own, read-2019, science-fiction","20xx-laser (#26), audio-book (#409), author-female (#202), own (#690), read-2019 (#5), science-fiction (#300)",read,"<b>Executive Summary:</b> This is the weakest of the series so far, but still pretty enjoyable. It finished much stronger than it started. <br/><br/><b>Audiobook:</b> Kevin R. Free once again does a good job with the narration. He adds that extra something that makes the audio a great option for this series.<br/><br/><b><u>Full Review</u></b><br/>After how much I enjoyed the last novella in this series, I immediately went out and got the final two. I found this one started a bit slow. I didn't like the supporting cast in it nearly as much as in the first two stories.<br/><br/>I did eventually warm up to them by the end of the book. Mickie especially definitely grew on me. I loved the way he started to rub off on Murderbot. The fun dialog and good writing carried the slower parts until I started to care more about the new supporting characters<br/><br/>Overall this was a fun entry but didn't add as much to the series as the last two. There were some minor series developments, but much of this story could have been cut without losing too much in my opinion.",,,1,,,1,2019/01/05,Audible,Like new,,
34371031,"The Killing Light (The Sacred Throne, #3)",Myke Cole,"Cole, Myke",,"=""0765395991""","=""9780765395993""",0,4.26,Tor.com,Hardcover,239,2019,2019,,2018/10/15,"to-read, author-male, own, 20xx-sword, read-2020, fantasy","to-read (#10), author-male (#906), own (#762), 20xx-sword (#79), read-2020 (#4), fantasy (#654)",to-read,,,,0,,,0,,,,,
